Datum,Titel,Ereignis,Personen,Literatur,Archiv,Signatur/Inventarnr.,Folierung,Quelle
1783-05-27,Schreiben des Obernkirchener Steinhauers Georg Conrad Farlemann an den Landgraf zu Hessen-Kassel mit der Bitte um die Beibehaltung des freien Steinhandels,"Farlemann richtet sich an den Landesherrn mit der Bitte, den Steinhauern weiterhin einen freien Handel nach der bisher geltenden Steinhauerzunftordnung zu erlauben. Er selbst ist seit 1758 Steinhauermeister und hat seit 1768 mit dem ""hessischen Agent Bartolomäus Grovermann in Bremen"" einen Vertrag über eine jährliche Steinabnahme zu 4700 Rthlr. Nun wollen die hessische Regierung und einige ""jungen Meisters Gottlieb Knübel, Ulrich Schwartze et Wilhelm Timmer"" einen gemeinschaftlichen Steinhandel einrichten, bei denen jeder Meister zu gleichen Teilen am Handel beteiligt werden soll. Farlemann stellt sich dagegen, da er bereits einen festen Abnehmer besitzt, und er darüber hinaus befürchtet, dass seine gute Arbeit von faulen Mitmeistern ausgenutzt werden könnte. Er geht auch darauf ein, dass der vorbereitete Vertrag für einen Monopolhandel des Agenten Grovermanns und des Bremer Steinhändlers Bielefeld 1776 nicht zustande gekommen sei.
Verknüpfungswunsch: ID #11756; ID #745; ID #668; ID #30; ID #12029; ID #748","ID #5703; Georg Conrad Farlemann (Steinhauermeister Obernkirchen), Landgraf zu Hessen-Kassel, Bartolomäus Grovermann (hess. Agent in Bremen, Steinhändler), Gottlieb Knüber (Steinhauermeister Obernkirchen), Urlich Schwartze (Steinhaurmeister Obernkirchen), Wilhelm Timmer (Steinhauermeister Obernkirchen), Steinhändler Bielefeld (Bremen)",,HStAM,"55 a, Nr. 1608",248r-250v,
1783-06-14,Beschluss des Kasseler Collegiums Farlemanns Brief an Rat Eigenbrod und Amtsrat Pasor weiterzuleiten,"Im Kollegium in Kassel wird entschieden, dass der Brief von Georg Conrad Farlemann dem Rat Eigenbrod in Rinteln und dem Amtsrat Pasor vorzulegen, damit diese über die Beschwerden einen Bericht anfertigen können.
Verknüpfungswunsch: ID #11756; ID #30; ID #745; Schreiben des Obernkirchner Steinhauers Georg conrad Farlemann an den Landgrafzu Hessen-Kassel mit der Bitte um die Beibehaltung des freien Steinhandels","Rat Eigenbrod, Amtsrat Pasor, Georg Conrad Farlemann (Steinhauer Obernkirchen)",,HStAM,"55 a, Nr. 1608",248r,
1783-06-29,Schreiben des hessischen Agenten Bartolomäus Grovermann aus Bremen an den hessischen Geheimenrat [von Meier?] bezüglich des Steinhandels,"Grovermann hat seit längerer Zeit einen Handel mit den Obernkirchener Steinhauermeistern Farlemann und Schwartze, die immer Steine für ihn bereit halten. Nun wurde die Abfahrt einer Lieferung durch die Obrigkeit verhindert. Grovermann möchte, dass die Vorschriften von 1775, welche dafür verantwortlich sind, überdacht werden. Er bittet den Geheimenrat deshalb von dem Bergrat von Cölln einen Bericht über die Lage des Steinhandels anfertigen zu lassen. Grovermann hofft, dass er weiterhin seinen Handel treiben kann. Grovermann weißt auch auf die Konkurrenz im Steinhandel mit dem Bassinghauser Stein (Deister) im Hannoverschen hin.
Verknüpfungswunsch: ID #11756; ID #745; ID #668; ID #30","Agent Grovermann (Bremen), Steinhauermeister Farlemann (Obernkirchen), Steinhauermeister Schwartze (Obernkirchen), hess. Kriegsrat Schwartzenberg, Rat Eigenbrod (Rinteln)",,HStAM,"55 a, Nr. 1608",255r-256v,
1783-09-14,Schreiben des Agenten Grovermann aus Bremen an den Geheimrat von Meyer in Kassel bezüglich des Steinhandels in Obernkirchen,"Agent Grovermann richtet sich an den Geheimrat mit der Bitte, den Stand des Steinhandels zu überdenken. Er selbst habe mit zwei Steinhauermeistern in direktem Kontakt steht, und ""die beiden Meistere, und einige 30 menschen ohne die furleute, beständig mit Geld unterhalten und meine Steine aber in Bruch und zu Kohlenstadt bis zu beßren Zeiten liegen laßen..."" Auf seine Aufforderung zwei Schiffe nach Bremen zu liefern sei ihm mitgeteilt worden, dass dieses verboten sei, da seit 1775 eine neue Regelung in Kraft getreten sei. Grovermann hält diese für Nachteilig für den Obernkirchener Steinhandel und weist auf Konkurrenz durch Hannoveraner Bassinghauser Stein. Zusammen mit dem Kaufmann Bielefeld hofft Grovermann auf eine Monopolisierung des Handels, der für die hessische Staatskasse besser sei.  Grovermann selbst ist bereit seinen Anteil an die Bremer Steinhändler Bielfeld, Erben von Nonne und dem Erben Fopmas Meyer abzutreten und seine drei Lagerplätze in der Stadt weiterhin als Steinniederlage nutzen zu lassen. Am Ende des Briefes gibt es noch Hinweise auf die Rückkehr hess. Truppen über Bremer Lehe nach Münden über die Weser.
Verknüpfungswunsch: ID #11756; ID #668; ID #745; ID #30; ID #12032","ID #12031; Agent Grovermann (Steinhändler, hess. Agent?), Geheimrat von Meyer (Kassel), Steinhändler Bielefeld, Erben des Steinhändlers Nonne, Steinhändler Fopmas Erbe Meyer",,HStAM,"55a, Nr. 1608",273r-274v,
1783-09-20,Collegiumsbeschluss bezüglich Schreiben des Agenten Grovermanns vom 1783-09-14,"Beschluss des Kasseler Kollegiums die Kommissare in hess. Schaumburg zu bitten, ihren Bericht bezüglich des Obernkirchener Steinhandels noch innerhalb des Monats Septembers nach Kassel kommen zu lassen.
Verknüpfungswunsch: ID #30; ID #12029; ID #11756",Agent Grovermann (SteinhändlerBremen),,HStAM,"55 a, Nr. 1608",273r,
1783-10-02,Bericht des Rates Eigenbrots und des Amtrats Pason aus Rinteln bzw. Schaumbrug an den Landgrafen zu Hessen-Kassel bezüglich des Steinhandels in Obernkirchen,"Der Bericht der beiden Räte aus hess. Schaumbrug bezieht sich auf die vorher bei der Regierung in Kassel eingegebenen Beschwerden gegen die Einigung wegen des Steinhandels durch Steinhauermeister Conrad Farlemann und Agent Grovermann. Die Verfasser beschreiben die Einwände als nichtig und beschuldigen insbesondere Farlemann die Einrichung eines gemeinsamen Steinhandels der gesamten Gilde zur Senkung aller Schulden durch einen heimlichen Steinhandel zu niedrigeren Preisen zu hintertreiben. Farlemann wird des Betrugs und der Unterschlagung der Bergwar beschuldigt. Die Hinweise von auf mögliche Konkurrenz durch den Handel mit Steinen aus Bassinghausen (Deister) oder vom Solling werden von den Verfassern als irrelevant abgetan. Sie betonen, dass auch die Bremer Kaufleute, welche gegen die neue Vereinbarung vorgehen wollen, nur ihr eigenes und keines Falls das Interesse der Obernkirchener Steinhauerzunft im Blick hätten. Die Einrichtung des neuen Steinhandels habe leider noch nicht so gut gewirkt, da es auf Grund vom Krieg zu Behinderungen und zum Ausbleiben von Bestellungen gekommen sei. Da der Krieg nun beendet sei, werde der Handel bald anziehen, wenn man bei der Vereinbarung bliebe.
Verknüfpungswunsch: ID #11756; ID #12029; ID #30; ID #745; ID #668","ID #5703; Rat Eigenbrodt (Rinteln), Amtsrat Pason (Schaumburg), Landgraf zu Hessen-Kassel, Conrad Farlemann (Steinhauermeister Obernkirchen), Ulrich Schwartz (Steinhauerjungmeister Obernkirchen), Geheimrätin von Schellersheim (Eisbergen), Maler und Steinhauer Eckstein (Potsdam, arbeitet für Schellersheim in Eisbergen), Agent Grovermann (hess. Agent in Bremen?)",,HStAM,"55 a, Nr. 1608",277r-288r,
1783-12-25,Schreiben des Agenten B. Grovermann aus Bremen an den Geheimrat von Meyer in Kassel mit der Bitte der Steinhändler Bremens den Steinhandel in Obernkirchen unter Berücksichtigung der ausstehenden Zinsen an die Kaufleute zu organisieren,"Grovermann schreibt nach Kassel um seine und die Bedenken seiner Steinhändler-Kollegen in Bremen gegenüber der Kasseler Regierung zu äußern. Durch die Neuregelung des Steinhandels in Obernkirchen erhält er seine bereits ""vor 6.8 Jaar gebrochen Steine"" nicht, die bereits von ihm bezahlt wurden. Es würden diese hingegen durch andere Käufer erneut bezahlt und Grovermann und die anderen Händler verlören zusätzlich die Zinsansprüche ihrer Schuldner, der Obernkirchener Steinhauermeister, die sie lange Jahre unterstützt hätten.  Es sei unter den Steinhändlern Bremens bereits überlegt worden, sich an den Rat zu wenden, damit dieser direkten Kontakt mit der hess. Regierung aufnehmen könne. Bevor dies geschehe möchte sich Grovermann aber noch einmal an den Geheimrat wenden. Der Handel mit Obernkirchener Stein leide in jedem Fall an der derzeitigen Situation.
Verknüpfungswunsch: ID #668; ID #12029; ID #745; ID #30","ID #5703; Agent B. Grovermann (Bremen), Geheimrat von Meyer (Kassel)",,HStAM,"55 a, Nr. 1608",289r-v,
1784-01-XX,Kopie des Vertrags zwischen dem Obernkirchener und Bermer Steinhaueramt bezüglich Steinlieferungen aus Obernkirchen,"Der Vertrag zwischen der Steinhauerzunft Obernkirchen und dem Steinhaueramt Bremen umfasst zwei Punkte. ""1lich das Obernkicher Steinhauer Amt verspricht und verpflichtet sich, keine fertige Arbeit so wenig in Bremen als auch deren Gebiet zu liefern, ausgenommen was zu Schleußen Bollwerken desgleichen auch was an Krippen, Kümpe, Sohsteine, behauen Streck und Astrack erfordert wird, dahingegen verspricht und verfplichtet sich das Bremer Steinhauer Amt, erstlich Alle fremde Steine sie mögen Nahmen haben wie sie sollen und auf keinerley Weise, es sey unter was vor einen Vorwand es auch immer wolle, einzuführen, sondern alle Steine so sie verarbeitet von den obernkircher Steinen zu nehmen, dieselbige bey der Gilde bestellen und den neuen Preiß davor ohnweigerlich bezahlen. 2tens Aber auch die jenigen Steine welche das Obernkircher Steinhauer Amt sich vorbehalten fals daß solche von den Bremer Steinhauer amt solten verlanget werden von keinen anden als den Obernkicher zu nehmen...."" Die Meister beider Steinhauergilden unterzeichneten unter ihrem jeweiligen Amtssiegel.
Verknüpfungswunsch: ID #668; ID #745; ID #12029; ID #11756","ID #5703; ID #5702; J. Schwartze (Altmeister Obernkirchen), Georg Conrad Farlemann (Steinhauermeister und Schreiber der Gilde Obernkirchen), Georg Friedrich Meyer (Gildemeister Obernkirchen), Henrich Wilhelm Dulsmann (Steinhauermeister Obernkirchen), Carl Ludwig Schwartze (Gildemeister Obernkirchen), Erich Wilhelm Timmener (Steinhauermeister Obernkirchen), Johann Gottlieb Knübel (Steinhauermeister Obernkirchen), Ulrich Schwartze (Steinhauermeister Obernkirchen), Anton Hector Eichmann (Steinhauermeister Obernkirchen), Friedrich Christoph Schwartze (Steinhauermeister Obernkirchen), Börries Ludwig Noope (Gildemeister Obernkirchen), Albert Henr. Bollmann (Altmeister Bremen), Gerhard Faleken (Jungmeister Bremen), Arend Prange (Jungmeister Bremen), Johann Echhard (Jungmeister), F. H. Wädekings Wittwe",,HStAM,"55 a, Nr. 1608",371r-v,
1784-03-03,Schreiben des Steinhauermeistes Georg Conrad Farlemann aus Obernkirchen an den Landgrafen zu Hessen-Kassel mit der Bitte um freien Steinhandlung und Stellungnahme zu den gegen ihn gerichteten Vorwürfen,"Der Steinhauer Farlemann wendet sich an den Landesherrn um erneut um einen freien Steinhandel zu bitten. Farlemann spricht über das nicht zustande gekommene Monopol zwischen ihm und den Steinhändlern Bartolomäus Grovermann und Bielefeld. Er betont, dass er sein Handeln an den Privilegien der Steinhauerzunft ausrichte und bereits seit vielen Jahren mit Grovermann in Bremen handelt. Diesem nun Steine vorzuenthalten, die er bereit bezahlt habe, führe zu Vertrauens- und Kreditwürdigkeitsverlust und damit zu Farlemanns Niedergang. Den anderen Meistern, insbesondere denjenigen, die die Aufsicht über den Steinhandel führen, wirft er Missgunst und Neid vor, welche den Handel allgemein beschädigen werden. Insbesondere hätten ihn ""Borius Nope, Carl Schwartz und G. Fried. Meyer [ihn] ohne Ursache bey der Commission verklaget..."" Farlemann appelliert an den Landesherrn christliches Recht walten zu lassen, und ihm seine Nahrung durch ein Verbot des freien Handels nicht zu verweigern. Insbesondere da er 3 wüste Brüche wieder brauchbar gemacht habe und deshalb auf Gewinne angewiesen sein, während andere Steinhauer faul wären und sich an seinen Mühen bereichern wollen würden. Zusätzlich finden sich im Text Hinweise auf Ratensummen Grovermanns  und Preissteigerungen. Außerdem wird ein Hinweis auf Steinlieferungen nach Oldenburg und auf eine Anfrage aus Bremen gegeben.
Verknüpfungswunsch: ID #11756; ID #30; ID #745; ID #668","Georg Conrad Farlemann (Steinhauermeister in Obernkirchen, 3 Brüche), Landgraf zu Hessen-Kassel, Bartohlomäus Grovermann (Steinhändler in Bremen), Herman Bielefeld (Steinhändler in Bremen),  Obrist Leutnat Isenbahrt aus Stade, Borius Nope (Steinhauermeister Obernkirchen), Carl Schwartz (Steinhauermeister Obernkirchen), G. Fried. Meyer (Steinhauermeister Obernkirchen), Jürgen Schwartz (Steinhauermeister Obernkirchen)",,HStAM,"55 a, Nr. 1608",321r-324v,
1784-03-26,"Schreiben der Obernkirchener Steinhauermeister Georg Fried. Meyer, Carl Ludwig Schwartze, Friedrich Criestopffer Schwartze, Börries Ludewig Noope an den Landgrafen zu Hessen-Kassel mit der Bitte um die Beibehaltung des gemeinschaftlichen Handels der Steinhauergilde","Die Steinhauermeister Georg Fried. Meyer, Carl Ludwig Schwartze, Friedrch Cristopffer Schwartze und Börries Ludweig Noope wenden sich an den Landgrafen zu Hessen-Kassel, um ihn vor der offiziellen Untersuchung des Steinhandels auf die den Privilegien von 1775 wiedersprechenden Handlungen ihrer Mitmeister Knubel, Timmener, Ulrich Schwartze und Farlemann hinzuweisen. Sie bitten den Landesherrn diese Handlungen zu unterbinden. Die Mitmeister umgehen nämlich den 1775 eingeführten gemeinschaftlichen Steinhandel, und beschweren sich über die Handelskonditionen, da sie mit einzelnen Bremer Steinhändlern in Kontakt stehen.  Dies steht dem gemeinschaftlich unterzeichneten Vertrag zwischen der Obernkirchener Steinhauergilde und dem Steinhaueramt von Bremen entgegen. Der Landgraf soll für die Zukunft den erhöhten Steinpreis ebenso beibehalten wie den gemeinschaftlichen Handel. Falls dies nicht geschehe, könnte es zu einer Rückkehr der schlechten Verhältnisse, welche den Steinhandel vor 1775 geplagt hatte, kommen.
Verknüpfungswunsch: ID #668; ID #745; ID#30; ID #11756; ID #12029","Georg Fried. Meyer (Steinhauermeister Obernkirchen), Carl Ludwig Schwartze (Steinhauermeister Obernkirchen), Börries Luedewig Noope (Steinhauermeister Obernkirchen), Friedrich Christopffer Schwartze  (Steinhauermeister Obernkirchen), Landgraf zu Hessen-Kassel, Knubel (Steinhauermeister Obernkirchen), Timmener (Steinhauermeister Obernkirchen), Ulrich Schwartze (Steinhauermeister Obernkirchen), Farlemann (Steinhauermeister Obernkirchen)",,HStAM,"55 a, Nr. 1608",332r-337r,
1784-03-29,"Stellungnahme der Kasseler Regierungsmitglieder Schwartzenberg, [Fulda?], Meyer, Schröder und Astburger zum Streit in der Obernkirchener Steinhauerzunf um freien oder gemeinschaftlichen Handel","Die Mitglieder der Hess-Kasseler Regierung Schwartzenberg, [Fulda?], Meyer, Schröder und Astburger nehmen Stellung zum Streit um den Steinhandel, dabei beziehen sie sich sowohl auf den Vertrag zwischen der Steinhauergilde Obernkirchen und derjenigen in Bremen als auch auf den von der Obrigkeit zuvor erlaubten Steinhandel zwischen einigen Steinhauermeistern aus Obernkirchen und bestimmten Bremer Steinhändlern. Sie nehmen Stellung zu dem Beschluss, dass den Steinhauern, welche noch frei handeln, dieser weiter erlaubt sein soll, allerdings nur mit denjenigen Produkten, welche von dem Vertrag mit den Bremer Steinhauern ausgenommen sind: Dies ""sind folgende Sorten Stein [...] zu Schleußen, bollwerken, desgleichen as an Krippen, Kumpen, Sohtsteinen, behauen Streck und Astrack /:d.f. Legeplatten:/ erfordert wird. Desgleichen bleibt nach diesem Contract der freye Steinhandel mit rohen oder nicht völlig fertig bearbeiteten Steinen der Obernkirchener Steinhauergilde ohne Restriction über laßen.""
Verknüpfungswunsch: ID #668; ID #745; ID #12029; ID #11756; ID #30","ID #5703; ID #5702; Schwartzenberg (Rergierungsmitglied Hessen-Kassel?), [Fulda?] (Regierungsmitglied Hessen-Kassel?), Meyer (Regierungsmitglied Hessen-Kassel?), Schröder (Regierungsmitglie Hessen-Kassel?), Astburger (Regierungsmitglied Hessen-Kassel), Farlemann (Steinhauermeister Obernkirchen), Timmener (Steinhauermeister Obernkirchen), Knübel (Steinhauermeister Obernkirchen), Ulrich Schwartze (Steinhauermeister Obernkirchen), Berginspektor Lüders (Obernkirchen), Bergschreiber Rinne (Obernkirchen), Forstverwalter Noope (evtl. auch Steinhauermeister??)",,HStAM,"55 a, Nr. 1608",373r-376v,
1784-03-29,"Konzept Schreiben der Regierungsräte Schwartzenberg, [?]ulda, Meyer, Schröder und Astenburg an Fiskaladvokat und Rat Eigenbrod zu Rinteln und Amtsrat Pasor zu Schaumburg bezüglich des Streits um freien oder gemeinschaftlichen Handel mit Oberkirchener Sandstein","Die Regierungsräte beauftragen Rat Eigenbrod und Amtsrat Pasor mit der Erstellung eines Berichts, um die Umstände des Vertragsschlusses zwischen den Bremer und dem Obernkirchener Steinhaueramt in Erfahrung zu bringen. Insbesondere wollen sie wissen, warum sie keine Kenntnis von diesem Vertrag hatten und die Steinhauermeister Knübel, Timmener, Ulrich Schwartze und Farlemann sollen dazu befragt werden, warum sie mit der Hess-Kasseler Regierung Sonderkonditionen für den freien Handel mit ihren Bremer Geschäftspartnern ausgehandelt haben, obwohl sie bereits zuvor zusammen mit der gesamten Gilde den Vertrag mit den Bremer Steinhauern geschlossen hatten. Die Regierungsräte erwarten auch eine Erklärung, warum der Vertrag mit den Bremern ohne ihr Vorwissen geschlossen und ob zumindest Eigenbrod und Pasor davon gewusst haben.
Verknüpfungswunsch: ID #30; ID #668; ID #745; ID #Rinteln; ID #11756; ID #12029","ID #5702; Schwartzenberg (Regierungsrat Hessen-Kassel), [?]ulda (Regierungsrat Hessen-Kassel), Meyer (Regierungsrat Hessen-Kassel), Astenburg (Regierungsrat Hessen-Kassel), Fiskaladvokat Eigenbrod (Rinteln), Amtsrat Pasor (Schaumburg), Scheinhauermeister Knübel (Obernkirchen), Steinhauermeister Timmener (Obernkirchen), Steinhauermeister Ulrich Schwartze (Obernkirchen), Steinhauermeister Farlemann (Obernkirchen).",,HStAM,"55 a, Nr. 1608",377r-377v,
1784-03-30,"Konzept Resolution der Regierungsräte Schwartzenberg, [?]ulda, Meyer, Schröder und Astenburg an die Steinhauerzunft in Obernkirchen über den Berginspektor Lüders  mit Anweisungen über zukünftigen Steinhandel","In der Resolution wird der Steinhauergilde wie bereits zuvor erlaubt, ""die jetzt vorräthige gehauene Steine, in den erhöheten Preißen abschicken zu dürfen."" Dabei werden die Produkte jedoch eingeschränkt auf ""die Steine zu Schleußen Bollwerken, ungleich zu Krippen, Kümpen, Sothsteine, behauenen Streck und Astrac, wie auch was an unbehauenen Steinen zu Kohlenstadt vorräthig lieget."" Es wird des Weiteren ein Verbot bis zur Aufhebung durch die Kommission ausgesprochen, welches den Meistern verbietet, die Anzahl ihrer Gesellen zu erhöhen oder ihre Brüche/ihre Produktivität über den derzeitigen Stand hinaus zu vergrößern. Darüber hinaus sollen ""heimliche Accorde mit den Bremer Kaufleuten"", welche an der Gilde vorbei geschlossen werden, sowie die Annahme von Vorschüssen oder den Verkauf von Stein unterhalb des festgelegten Preises unter Strafe gestellt werden. Der Berginspektor Lüders wird aufgefordert, diese Resolution bei der Gilde bekannt zu machen und ihre Befolgung zu überwachen. Über Fehlverhalten soll er nach Kassel berichten.
Verknüpfungswunsch: ID #30; ID #Kassel; ID #745; ID #12029; ID #11756","ID #5703; Schwartzenberg (Regierungsrat Hessen-Kassel), [?]ulda (Regierungsrat Hessen-Kassel), Meyer (Regierungsrat Hessen-Kassel), Astenburg (Regierungsrat Hessen-Kassel), Berginspektor Lüders (Obernkirchen)",,HStAM,"55 a, Nr. 1608",377v-378v,
1784-04-17,"Schreiben der Steinhauermeister Georg Fried. Meyer, Carl Ludw. Schwartze und B. E. Noope an den Berginspektor Lüders mit Hinweise auf schädigendes Verhalten ihrer Mitmeister Farlemann und Ulrich Schwartze","Die Steinhauermeister Georg Fried. Meyer, Carl Ludw. Schwartze und B.E. Noope wenden sich an den Berginspektor, um ihn über das schädigende Verhalten der Steinhauermeister Farlemann und Ulrich Schwartze aufzuklären, die mit heimlichen Handel gegen die Resolution der Kasseler Regierung verstoßen würden. Sie werfen ihren Kollegen vor, heimlich Geschäfte mit einem Steinhauermeister Eckard aus Bremen zu tätigen. Dieser hat ""Steine Verlangte, sich aber bey der Gilde nicht gemeldet, sondern Farlemann et Urlich Schwartze sind mit demselben nach Cohlenstaedt und den Steinbrüchen gewesen, aber so heimlich diese neue Contrahirung geschehen, so verdekt kan auch die Einladung eingeruhet werden, indem solche unter dem Nahmen an einem Kaufleute abgesand werden könne."" Meyer, Schwartze und Noope werfen Farlemann und U. Schwartze vor, die Gilde zu ruinieren. Farlemann habe beispielsweise die Wittwe Dulsmann um eine Lieferung gebracht, indem er einen geringeren Preis verlangte. Er würde darüber hinaus seine Brüche sehr stark ausbeuten. Damit würden die Beschlüsse der Kommission untergraben und eine Besserung der Situation für die Gildemitglieder rücke in weite Ferne. 
Verknüpfungswunsch: ID #745; ID #30; ID #12032; ID #748; ID #668","Georg Fried. Meyer (Steinhauermeister Obernkirchen), Carl Ludw. Schwartze (Steinhauermeister Obernkirchen), B. E. Noope (Steinhauermeister Obernkirchen), Farlemann (Steinhauermeister Obernkirchen), Ulrich Schwartze (Steinhauermeister Obernkirchen), Berginspektor Lüders (Obernkirchen), Wittwe Dulsmann (Steinhauermeisterwitwe Obernkirchen), Steinhauermeister Eckard (Bremen)",,HStAM,"55 a, Nr. 1608",387r-388r,
1784-04-24,Bericht des Rates Eigenbrod und des Amtsrats Pasor an den Landgrafen zu Hessen-Kassel über die Befragung der streitenden Steinhauermeister aus Obernkirchen,"Der Bericht der beiden Räte bezieht sich auf den Auftrag der hessischen Kriegs- und Domänenkammer die Umstände des Vertragsschlusses zwischen dem Bremer und dem Obernkirchener Steinhaueramt zu klären. Beigelegt ist ein Protokoll über die Vernehmung der Steinhauermeister Georg Conradt Farlemann, Erich Wilhelm Timmener, Joh. Gottlieb Knübel, Ulrich Schwartze am Mittwoch 1784-04-21. Sie nehmen Stellung zu dem Vertrag mit den Bremer Steinhauern, von dem sie Kenntnis hatten, aber die fehlende Erwähnung ""keine böse Absichten"" gewesen wären. Da der Vertrag unter den Gilden ausgehandelt worden sei, hätten sie keine Veranlassung gesehen, darüber Informationen zu geben. Am folgenden Donnerstag 1784-04-22 sprechen die Gildemeister Borries Noope, Georg Friedrich Meyer und Carl Schwartz vor. Beginnend mit einer Entschuldigung wegen ihres Fernbleibens am Tag zuvor, beschuldigen sie ""Jürgen Schwartz, ein Vetter des jungen Meisters Ulrich Schwartz"" ihnen die Nachricht über die Vorladung absichtlich vorenthalten zu haben. Über den Vertragsabschluss mit den Bremern sagen sie aus, dass keine Mitteilung an die Kommission ergangen sei, da bisher die Gilde immer unabhängig Verträge ausgehandelt habe. Darüber hinaus wollen sie zur Anzeige bringen, dass der Bremer Steinhauermeister Eckhard zusammen mit Ulrich Schwartz gegen diesen Vertrag verstoßen hätte,  da er ""mit jenen vier Meisters nach Kohlenstaedt gegangen seyn, auch sich daselbsten Maaß Stücke ausgesuchet haben."" Die Meister Farlemann, Timmener, Knübel und Ulrich Schwartze hätten somit gegen die Resolution vom 1784-03-30 verstoßen.
Verknüpfungswunsch: ID #745; ID #668; ID #30; ID #12029; ID #11756; ID #12032","ID #5702; ID #5703; Rat Eigenbrodt (Rinteln), Amtsrat Pasor (Schaumburg), Fulda (Regierungsrat Hessen-Kassel), Berginspektor Lürsen (Obernkirchen), Landgraf zu Hessen-Kassel, Georg Conradt Farlemann (Steinhauermeister Obernkirchen), Erich Wilhelm Timmener (Steinhauermeister Obernkirchen), Joh. Gottlieb Knübel (Steinhauermeister Obernkirchen), Ulrich Schwartze (Steinhauermeister Obernkirchen), Borries Noope (Gildemeister/Steinhauermeister Obernkirchen), Georg Friedrich Meyer (Gildemeister/Steinhauermeister Obernkirchen), Carl Schwartz (Gildemeister/Steinhauermeister Obernkirchen), Jürgen Schwartz (Vetter von Ulrich Schwartz Obernkirchen), Steinhauermeister Eckhard (Bremen)",,HStAM,"55 a, Nr. 1608",393r-396r,
1784-04-27,Brief des Steinhauermeisters Georg Conrad Farlemann an den Landgrafen zu Hessen-Kassel bezüglich der Vorteile des freien Steinhandels,"Farlemann wendet sich mit der Bitte um einen freien Steinhandel an den Landgrafen zu Hessen-Kassel. Anlass ist die Befragung, welcher er sich am 1784-04-22 unterziehen musste. Farlemann betont noch einmal, dass mit dem Verschweigen des Vertags zwischen der Obernkirchener und Bremer Steinhauerzunft keine böse Absicht einherging. Er nennt die Steinhauer G. Fr. Meyer, Carl Schwartze und Borrius Noope als Urheber dieses Vertrages und das deren Betreiben einen Streit in der Steinhauerzunft verursacht hätte. Die Handelsfreiheit sei in den Zunftprivilegien verbrieft und die neue Regelung, die insbesondere durch den, laut Farlemann unrechtmäßig zum Steinhauermeister gewordenen Noope bestimmt würden, widersprächen den altbewährten Regelungen. Dies wäre zum Nachteil der Wirtschaft und die Konkurrenz durch den Bassinghauser Sandstein würde zunehmen. Farlemann geht auch auf den Verlust eines Kundens in Stade ein und zählt die potentiellen Einnahmen auch für die landesherrliche Kasse auf. Farlemann hofft, auch durch die Offenlegung seiner Ausgaben, Schulden und Einnahmen, dass der Landesherr sich für einen freien Handel einsetzen werde, um den Untergang des Steinhandels in hess. Schaumburg aufzuhalten. Hinweise auf Zukäufe von Brüchen und Besitz sowie Handelspartner von Farlemann. Unterstützung des Jungmeisters Anthon Hector Eichmann, welcher sich in Minden niederlassen will und dort Kontakt mit Steinhändlern hat.
Verknüpfungswunsch: ID #668; ID #745; ID #30; ID #1297; ID #11756; ID #12029","ID #5703; ID #5702; Georg Conrad Farlemann (Steinhauermeister Obernkirchen), Landgraf zu Hessen-Kassel, Fulda (Rat in der Kriegs- und Domänenkammer Hessen-Kassel), Gottlieb Knübel (Steinhauermeister Obernkirchen), Georg  Friedrich Meyer (Steinhauermeister Obernkirchen), Carl Schwartze (Steinhauermeister Obernkirchen), Borrius Noope (Steinhauermeister Obernkirchen, nach Farlemann: Verheiratet mit Frau aus Steinhauerfamilie, ursprünglich Postverwalter, Meisterwürde erhalten ohne Meisterstück), Anthon Hector Eichmann (Steinhauermeister Obernkirchen mit Umsiedlungswunsch nach Minden), Kauffmann Bradt (Minden), Kauffmann Harlen (Minden), Steinhändler Bielefeld (Bremen), Bartolomäus Grovermann (Steinhändler Bremen), Wittwe Gesterlings (Steinhauermeister Obernkirchen), Georg Conrad Rösemeyer (Schwager Farlemanns, verstorben Steinhauer?), Friedrich Rethmeyer, Schiffer Bunten, Conr. Wissel, Kasselman, Dusenberg, Drallen, Bussens, Bondel, Lagema, Brug, Feldau, Schiffer Kausebecker, Mister Knübel (verstorbener Obernkirchener Steinhauer), Christopher Ludewig Stelling (verstrobener Steinhauermeister Obernkirchen)",,HStAM,"55 a, Nr. 1608",404r-408r,
